object_id,collector,collector_normalized,collector_id
518063,Art Leete,Art Leete,26
518064,Art Leete,Art Leete,26
518065,Art Leete,Art Leete,26
518066,Art Leete,Art Leete,26
518513,Art Leete,Art Leete,26
518514,Art Leete,Art Leete,26
518515,Art Leete,Art Leete,26
518517,Art Leete,Art Leete,26
518518,Art Leete,Art Leete,26
518519,Art Leete,Art Leete,26
518521,Art Leete,Art Leete,26
519423,Art Leete,Art Leete,26
519424,Art Leete,Art Leete,26
519425,Art Leete,Art Leete,26
519426,Art Leete,Art Leete,26
519427,Art Leete,Art Leete,26
519428,Art Leete,Art Leete,26
519429,Art Leete,Art Leete,26
519430,Art Leete,Art Leete,26
519431,Art Leete,Art Leete,26
519433,Art Leete,Art Leete,26
519800,Kadri Viires,Kadri Viires,78
520181,Kadri Viires,Kadri Viires,78
520182,Kadri Viires,Kadri Viires,78
520183,Kadri Viires,Kadri Viires,78
520184,Kadri Viires,Kadri Viires,78
520185,Kadri Viires,Kadri Viires,78
520185,Eesti Kunstiakadeemia üliõpilased,Eesti Kunstiakadeemia,38
520186,Kadri Viires,Kadri Viires,78
520187,Kadri Viires,Kadri Viires,78
520188,Kadri Viires,Kadri Viires,78
520189,Kadri Viires,Kadri Viires,78
520190,Kadri Viires,Kadri Viires,78
520191,Art Leete,Art Leete,26
520193,Art Leete,Art Leete,26
520194,Art Leete,Art Leete,26
520196,Art Leete,Art Leete,26
520617,Art Leete,Art Leete,26
521055,Art Leete,Art Leete,26
521362,Art Leete,Art Leete,26
521363,Art Leete,Art Leete,26
521366,Art Leete,Art Leete,26
521368,Art Leete,Art Leete,26
521370,Art Leete,Art Leete,26
521371,Art Leete,Art Leete,26
521372,Art Leete,Art Leete,26
521373,Art Leete,Art Leete,26
521374,Art Leete,Art Leete,26
521375,Art Leete,Art Leete,26
521376,Art Leete,Art Leete,26
521377,Art Leete,Art Leete,26
521378,Art Leete,Art Leete,26
521379,Art Leete,Art Leete,26
521380,Art Leete,Art Leete,26
521381,Art Leete,Art Leete,26
521382,Art Leete,Art Leete,26
521383,Art Leete,Art Leete,26
521384,Art Leete,Art Leete,26
521385,Art Leete,Art Leete,26
521386,Art Leete,Art Leete,26
521387,Art Leete,Art Leete,26
521388,Art Leete,Art Leete,26
521389,Art Leete,Art Leete,26
521390,Art Leete,Art Leete,26
521581,Art Leete,Art Leete,26
521646,Mari Aakre,Mari Aakre,111
521688,Art Leete,Art Leete,26
521689,Art Leete,Art Leete,26
521690,Art Leete,Art Leete,26
521691,Art Leete,Art Leete,26
521692,Art Leete,Art Leete,26
521693,Art Leete,Art Leete,26
521698,Art Leete,Art Leete,26
521699,Art Leete,Art Leete,26
521701,Art Leete,Art Leete,26
521702,Art Leete,Art Leete,26
521703,Art Leete,Art Leete,26
521704,Art Leete,Art Leete,26
521705,Art Leete,Art Leete,26
521706,Art Leete,Art Leete,26
521707,Art Leete,Art Leete,26
521708,Art Leete,Art Leete,26
521709,Art Leete,Art Leete,26
521710,Art Leete,Art Leete,26
521711,Art Leete,Art Leete,26
521712,Art Leete,Art Leete,26
521713,Art Leete,Art Leete,26
521714,Art Leete,Art Leete,26
521715,Art Leete,Art Leete,26
522051,Art Leete,Art Leete,26
522052,Art Leete,Art Leete,26
522053,Art Leete,Art Leete,26
522062,Art Leete,Art Leete,26
522063,Art Leete,Art Leete,26
522064,Art Leete,Art Leete,26
522065,Art Leete,Art Leete,26
522066,Art Leete,Art Leete,26
522067,Art Leete,Art Leete,26
522068,Art Leete,Art Leete,26
522069,Art Leete,Art Leete,26
522070,Art Leete,Art Leete,26
522071,Art Leete,Art Leete,26
522072,Art Leete,Art Leete,26
522073,Art Leete,Art Leete,26
522074,Art Leete,Art Leete,26
522723,Mattis Agabus,Mattis Agabus,120
522723,Edgar Saar,Edgar Saar,33
524027,Art Leete,Art Leete,26
524028,Art Leete,Art Leete,26
524029,Art Leete,Art Leete,26
524030,Art Leete,Art Leete,26
524031,Art Leete,Art Leete,26
524032,Art Leete,Art Leete,26
524033,Art Leete,Art Leete,26
524034,Art Leete,Art Leete,26
524035,Art Leete,Art Leete,26
524437,Art Leete,Art Leete,26
524438,Art Leete,Art Leete,26
524441,Art Leete,Art Leete,26
524445,Art Leete,Art Leete,26
524722,Mare Piho,Mare Piho,109
524794,Anzori Barkalaja,Anzori Barkalaja,22
525187,Anzori Barkalaja,Anzori Barkalaja,22
525920,Kaleph Jõulu,Kaleph Jõulu,81
525926,Toivo Sikka,Toivo Sikka,157
525927,Toivo Sikka,Toivo Sikka,157
525928,Toivo Sikka,Toivo Sikka,157
525929,Toivo Sikka,Toivo Sikka,157
525930,Toivo Sikka,Toivo Sikka,157
526325,Art Leete,Art Leete,26
526326,Art Leete,Art Leete,26
526327,Art Leete,Art Leete,26
526328,Art Leete,Art Leete,26
526329,Art Leete,Art Leete,26
526330,Art Leete,Art Leete,26
526331,Art Leete,Art Leete,26
526332,Art Leete,Art Leete,26
526333,Art Leete,Art Leete,26
526334,Art Leete,Art Leete,26
526335,Art Leete,Art Leete,26
526336,Art Leete,Art Leete,26
526337,Art Leete,Art Leete,26
526338,Art Leete,Art Leete,26
526675,Art Leete,Art Leete,26
526676,Art Leete,Art Leete,26
526677,Art Leete,Art Leete,26
526678,Art Leete,Art Leete,26
526679,Art Leete,Art Leete,26
526680,Art Leete,Art Leete,26
526681,Art Leete,Art Leete,26
526682,Art Leete,Art Leete,26
526683,Art Leete,Art Leete,26
526684,Art Leete,Art Leete,26
526685,Art Leete,Art Leete,26
526689,Art Leete,Art Leete,26
526690,Art Leete,Art Leete,26
526691,Art Leete,Art Leete,26
526692,Art Leete,Art Leete,26
526693,Art Leete,Art Leete,26
526694,Art Leete,Art Leete,26
526695,Art Leete,Art Leete,26
526696,Art Leete,Art Leete,26
526697,Art Leete,Art Leete,26
526698,Art Leete,Art Leete,26
526699,Art Leete,Art Leete,26
526880,Edgar Saar,Edgar Saar,33
526881,Edgar Saar,Edgar Saar,33
526882,Edgar Saar,Edgar Saar,33
526883,Edgar Saar,Edgar Saar,33
526884,Edgar Saar,Edgar Saar,33
527010,Art Leete,Art Leete,26
527011,Art Leete,Art Leete,26
527012,Art Leete,Art Leete,26
527013,Art Leete,Art Leete,26
527014,Art Leete,Art Leete,26
527015,Art Leete,Art Leete,26
527016,Art Leete,Art Leete,26
527017,Art Leete,Art Leete,26
527018,Art Leete,Art Leete,26
527019,Art Leete,Art Leete,26
527020,Art Leete,Art Leete,26
527021,Art Leete,Art Leete,26
527022,Art Leete,Art Leete,26
527023,Art Leete,Art Leete,26
527024,Art Leete,Art Leete,26
527025,Art Leete,Art Leete,26
527026,Art Leete,Art Leete,26
527027,Art Leete,Art Leete,26
527028,Art Leete,Art Leete,26
527029,Art Leete,Art Leete,26
527030,Art Leete,Art Leete,26
527031,Art Leete,Art Leete,26
527032,Art Leete,Art Leete,26
527033,Art Leete,Art Leete,26
527034,Art Leete,Art Leete,26
527035,Art Leete,Art Leete,26
527036,Art Leete,Art Leete,26
527037,Art Leete,Art Leete,26
527038,Art Leete,Art Leete,26
527039,Art Leete,Art Leete,26
545847,Kadri Viires,Kadri Viires,78
545848,Kadri Viires,Kadri Viires,78
545849,Kadri Viires,Kadri Viires,78
545853,Kadri Viires,Kadri Viires,78
555505,Ljudmila Nikitina,Ljudmila Nikitina,100
555900,Ljudmila Nikitina,Ljudmila Nikitina,100
555903,Ljudmila Nikitina,Ljudmila Nikitina,100
555905,Ljudmila Nikitina,Ljudmila Nikitina,100
555906,Ljudmila Nikitina,Ljudmila Nikitina,100
563425,Kadri Viires,Kadri Viires,78
563747,Kadri Viires,Kadri Viires,78
563747,Pille Runnel,Pille Runnel,133
563759,Kadri Viires,Kadri Viires,78
563759,Pille Runnel,Pille Runnel,133
585979,Eerik Leibak,Eerik Leibak,37
585979,Arvo Tuvike,Arvo Tuvike,27
585980,Eerik Leibak,Eerik Leibak,37
585980,Arvo Tuvike,Arvo Tuvike,27
585981,Eerik Leibak,Eerik Leibak,37
585981,Arvo Tuvike,Arvo Tuvike,27
585982,Eerik Leibak,Eerik Leibak,37
585982,Arvo Tuvike,Arvo Tuvike,27
587814,Kadri Viires,Kadri Viires,78
587815,Kadri Viires,Kadri Viires,78
587816,Kadri Viires,Kadri Viires,78
587817,Kadri Viires,Kadri Viires,78
588412,Kadri Viires,Kadri Viires,78
588413,Kadri Viires,Kadri Viires,78
588414,Kadri Viires,Kadri Viires,78
588415,Kadri Viires,Kadri Viires,78
588416,Kadri Viires,Kadri Viires,78
588417,Kadri Viires,Kadri Viires,78
588418,Kadri Viires,Kadri Viires,78
588419,Kadri Viires,Kadri Viires,78
588420,Kadri Viires,Kadri Viires,78
588421,Kadri Viires,Kadri Viires,78
588422,Kadri Viires,Kadri Viires,78
596931,Art Leete,Art Leete,26
596932,Art Leete,Art Leete,26
596933,Art Leete,Art Leete,26
596934,Art Leete,Art Leete,26
612334,Mare Piho,Mare Piho,109
612334,Marika Mikkor,Marika Mikkor,113
612335,Mare Piho,Mare Piho,109
612335,Marika Mikkor,Marika Mikkor,113
612338,Mare Piho,Mare Piho,109
612338,Marika Mikkor,Marika Mikkor,113
612339,Mare Piho,Mare Piho,109
612339,Marika Mikkor,Marika Mikkor,113
612340,Mare Piho,Mare Piho,109
612340,Marika Mikkor,Marika Mikkor,113
612341,Mare Piho,Mare Piho,109
612341,Marika Mikkor,Marika Mikkor,113
612342,Mare Piho,Mare Piho,109
612342,Marika Mikkor,Marika Mikkor,113
612343,Mare Piho,Mare Piho,109
612343,Marika Mikkor,Marika Mikkor,113
612344,Mare Piho,Mare Piho,109
612344,Marika Mikkor,Marika Mikkor,113
612346,Mare Piho,Mare Piho,109
612346,Marika Mikkor,Marika Mikkor,113
612347,Mare Piho,Mare Piho,109
612347,Marika Mikkor,Marika Mikkor,113
612348,Mare Piho,Mare Piho,109
612348,Marika Mikkor,Marika Mikkor,113
612349,Mare Piho,Mare Piho,109
612349,Marika Mikkor,Marika Mikkor,113
612350,Mare Piho,Mare Piho,109
612350,Marika Mikkor,Marika Mikkor,113
612351,Mare Piho,Mare Piho,109
612351,Marika Mikkor,Marika Mikkor,113
612352,Mare Piho,Mare Piho,109
612352,Marika Mikkor,Marika Mikkor,113
612353,Mare Piho,Mare Piho,109
612353,Marika Mikkor,Marika Mikkor,113
612354,Mare Piho,Mare Piho,109
612354,Marika Mikkor,Marika Mikkor,113
612355,Mare Piho,Mare Piho,109
612355,Marika Mikkor,Marika Mikkor,113
612356,Mare Piho,Mare Piho,109
612356,Marika Mikkor,Marika Mikkor,113
612357,Mare Piho,Mare Piho,109
612357,Marika Mikkor,Marika Mikkor,113
612358,Mare Piho,Mare Piho,109
612358,Marika Mikkor,Marika Mikkor,113
612359,Mare Piho,Mare Piho,109
612359,Marika Mikkor,Marika Mikkor,113
612360,Mare Piho,Mare Piho,109
612360,Marika Mikkor,Marika Mikkor,113
612361,Mare Piho,Mare Piho,109
612361,Marika Mikkor,Marika Mikkor,113
612362,Mare Piho,Mare Piho,109
612362,Marika Mikkor,Marika Mikkor,113
612363,Mare Piho,Mare Piho,109
612363,Marika Mikkor,Marika Mikkor,113
612364,Mare Piho,Mare Piho,109
612364,Marika Mikkor,Marika Mikkor,113
612366,Mare Piho,Mare Piho,109
612366,Marika Mikkor,Marika Mikkor,113
612367,Mare Piho,Mare Piho,109
612367,Marika Mikkor,Marika Mikkor,113
612368,Mare Piho,Mare Piho,109
612368,Marika Mikkor,Marika Mikkor,113
612369,Mare Piho,Mare Piho,109
612369,Marika Mikkor,Marika Mikkor,113
612370,Mare Piho,Mare Piho,109
612370,Marika Mikkor,Marika Mikkor,113
612376,Mare Piho,Mare Piho,109
612376,Marika Mikkor,Marika Mikkor,113
612377,Mare Piho,Mare Piho,109
612377,Marika Mikkor,Marika Mikkor,113
612382,Marika Mikkor,Marika Mikkor,113
612384,Marika Mikkor,Marika Mikkor,113
612385,Marika Mikkor,Marika Mikkor,113
612386,Marika Mikkor,Marika Mikkor,113
612388,Marika Mikkor,Marika Mikkor,113
612389,Marika Mikkor,Marika Mikkor,113
612390,Marika Mikkor,Marika Mikkor,113
612391,Marika Mikkor,Marika Mikkor,113
612392,Marika Mikkor,Marika Mikkor,113
612393,Marika Mikkor,Marika Mikkor,113
612394,Marika Mikkor,Marika Mikkor,113
612396,Marika Mikkor,Marika Mikkor,113
612397,Marika Mikkor,Marika Mikkor,113
612398,Marika Mikkor,Marika Mikkor,113
612399,Marika Mikkor,Marika Mikkor,113
612400,Marika Mikkor,Marika Mikkor,113
612401,Marika Mikkor,Marika Mikkor,113
612402,Marika Mikkor,Marika Mikkor,113
612403,Marika Mikkor,Marika Mikkor,113
612404,Marika Mikkor,Marika Mikkor,113
612405,Marika Mikkor,Marika Mikkor,113
612406,Marika Mikkor,Marika Mikkor,113
612407,Marika Mikkor,Marika Mikkor,113
612408,Marika Mikkor,Marika Mikkor,113
612410,Marika Mikkor,Marika Mikkor,113
612411,Marika Mikkor,Marika Mikkor,113
612412,Marika Mikkor,Marika Mikkor,113
612413,Marika Mikkor,Marika Mikkor,113
612414,Marika Mikkor,Marika Mikkor,113
612415,Marika Mikkor,Marika Mikkor,113
612416,Marika Mikkor,Marika Mikkor,113
612417,Marika Mikkor,Marika Mikkor,113
612419,Jüri Linnus,Jüri Linnus,73
612419,Mati Ruljand,Mati Ruljand,118
612420,Jüri Linnus,Jüri Linnus,73
612420,Mati Ruljand,Mati Ruljand,118
612421,Jüri Linnus,Jüri Linnus,73
612421,Mati Ruljand,Mati Ruljand,118
612422,Jüri Linnus,Jüri Linnus,73
612422,Mati Ruljand,Mati Ruljand,118
612423,Jüri Linnus,Jüri Linnus,73
612423,Mati Ruljand,Mati Ruljand,118
612424,Jüri Linnus,Jüri Linnus,73
612424,Mati Ruljand,Mati Ruljand,118
612425,Jüri Linnus,Jüri Linnus,73
612425,Mati Ruljand,Mati Ruljand,118
612426,Jüri Linnus,Jüri Linnus,73
612426,Mati Ruljand,Mati Ruljand,118
612427,Jüri Linnus,Jüri Linnus,73
612427,Mati Ruljand,Mati Ruljand,118
612428,Jüri Linnus,Jüri Linnus,73
612428,Mati Ruljand,Mati Ruljand,118
612429,Jüri Linnus,Jüri Linnus,73
612429,Mati Ruljand,Mati Ruljand,118
612430,Jüri Linnus,Jüri Linnus,73
612430,Mati Ruljand,Mati Ruljand,118
612431,Jüri Linnus,Jüri Linnus,73
612431,Mati Ruljand,Mati Ruljand,118
612432,Jüri Linnus,Jüri Linnus,73
612432,Mati Ruljand,Mati Ruljand,118
612433,Jüri Linnus,Jüri Linnus,73
612433,Mati Ruljand,Mati Ruljand,118
612434,Jüri Linnus,Jüri Linnus,73
612434,Mati Ruljand,Mati Ruljand,118
612435,Jüri Linnus,Jüri Linnus,73
612435,Mati Ruljand,Mati Ruljand,118
612436,Jüri Linnus,Jüri Linnus,73
612436,Mati Ruljand,Mati Ruljand,118
612437,Jüri Linnus,Jüri Linnus,73
612437,Mati Ruljand,Mati Ruljand,118
612438,Jüri Linnus,Jüri Linnus,73
612438,Mati Ruljand,Mati Ruljand,118
612439,Jüri Linnus,Jüri Linnus,73
612439,Mati Ruljand,Mati Ruljand,118
612440,Jüri Linnus,Jüri Linnus,73
612440,Mati Ruljand,Mati Ruljand,118
612441,Jüri Linnus,Jüri Linnus,73
612441,Mati Ruljand,Mati Ruljand,118
612442,Jüri Linnus,Jüri Linnus,73
612442,Mati Ruljand,Mati Ruljand,118
612443,Jüri Linnus,Jüri Linnus,73
612443,Mati Ruljand,Mati Ruljand,118
612444,Jüri Linnus,Jüri Linnus,73
612444,Mati Ruljand,Mati Ruljand,118
612445,Jüri Linnus,Jüri Linnus,73
612445,Mati Ruljand,Mati Ruljand,118
612446,Jüri Linnus,Jüri Linnus,73
612446,Mati Ruljand,Mati Ruljand,118
612447,Jüri Linnus,Jüri Linnus,73
612447,Mati Ruljand,Mati Ruljand,118
612448,Jüri Linnus,Jüri Linnus,73
612448,Mati Ruljand,Mati Ruljand,118
612449,Jüri Linnus,Jüri Linnus,73
612449,Mati Ruljand,Mati Ruljand,118
612450,Jüri Linnus,Jüri Linnus,73
612450,Mati Ruljand,Mati Ruljand,118
612451,Jüri Linnus,Jüri Linnus,73
612451,Mati Ruljand,Mati Ruljand,118
612452,Jüri Linnus,Jüri Linnus,73
612452,Mati Ruljand,Mati Ruljand,118
612453,Jüri Linnus,Jüri Linnus,73
612453,Mati Ruljand,Mati Ruljand,118
612454,Jüri Linnus,Jüri Linnus,73
612454,Mati Ruljand,Mati Ruljand,118
612457,Aleksei Peterson,Aleksei Peterson,17
612458,Aleksei Peterson,Aleksei Peterson,17
612459,Aleksei Peterson,Aleksei Peterson,17
612461,Kalju Konsin,Kalju Konsin,83
612462,Kalju Konsin,Kalju Konsin,83
612463,Kalju Konsin,Kalju Konsin,83
612464,Kalju Konsin,Kalju Konsin,83
612465,Kalju Konsin,Kalju Konsin,83
612466,Kalju Konsin,Kalju Konsin,83
612467,Kalju Konsin,Kalju Konsin,83
612468,Kalju Konsin,Kalju Konsin,83
612469,Kalju Konsin,Kalju Konsin,83
612470,Edgar Saar,Edgar Saar,33
612470,Heno Sarv,Heno Sarv,58
612471,Edgar Saar,Edgar Saar,33
612472,Edgar Saar,Edgar Saar,33
612472,Heno Sarv,Heno Sarv,58
612473,Edgar Saar,Edgar Saar,33
612473,Heno Sarv,Heno Sarv,58
612474,Edgar Saar,Edgar Saar,33
612474,Heno Sarv,Heno Sarv,58
612475,Edgar Saar,Edgar Saar,33
612475,Heno Sarv,Heno Sarv,58
612476,Edgar Saar,Edgar Saar,33
612476,Heno Sarv,Heno Sarv,58
612477,Edgar Saar,Edgar Saar,33
612477,Heno Sarv,Heno Sarv,58
612478,Edgar Saar,Edgar Saar,33
612478,Heno Sarv,Heno Sarv,58
612479,Edgar Saar,Edgar Saar,33
612479,Heno Sarv,Heno Sarv,58
612480,Edgar Saar,Edgar Saar,33
612480,Heno Sarv,Heno Sarv,58
612481,Edgar Saar,Edgar Saar,33
612481,Heno Sarv,Heno Sarv,58
612482,Edgar Saar,Edgar Saar,33
612482,Heno Sarv,Heno Sarv,58
612483,Edgar Saar,Edgar Saar,33
612483,Heno Sarv,Heno Sarv,58
612484,Edgar Saar,Edgar Saar,33
612484,Heno Sarv,Heno Sarv,58
612485,Edgar Saar,Edgar Saar,33
612485,Heno Sarv,Heno Sarv,58
612486,Edgar Saar,Edgar Saar,33
612486,Heno Sarv,Heno Sarv,58
612487,Edgar Saar,Edgar Saar,33
612487,Heno Sarv,Heno Sarv,58
612488,Edgar Saar,Edgar Saar,33
612488,Heno Sarv,Heno Sarv,58
612489,Edgar Saar,Edgar Saar,33
612489,Heno Sarv,Heno Sarv,58
612490,Edgar Saar,Edgar Saar,33
612490,Heno Sarv,Heno Sarv,58
612491,Edgar Saar,Edgar Saar,33
612491,Heno Sarv,Heno Sarv,58
612492,Edgar Saar,Edgar Saar,33
612492,Heno Sarv,Heno Sarv,58
612493,Edgar Saar,Edgar Saar,33
612494,Edgar Saar,Edgar Saar,33
612495,Edgar Saar,Edgar Saar,33
612495,Heno Sarv,Heno Sarv,58
612496,Edgar Saar,Edgar Saar,33
612496,Heno Sarv,Heno Sarv,58
612497,Edgar Saar,Edgar Saar,33
612497,Heno Sarv,Heno Sarv,58
612498,Edgar Saar,Edgar Saar,33
612498,Heno Sarv,Heno Sarv,58
612499,Edgar Saar,Edgar Saar,33
612499,Heno Sarv,Heno Sarv,58
612500,Aleksei Peterson,Aleksei Peterson,17
612501,Aleksei Peterson,Aleksei Peterson,17
612501,Kadri Tammur,Kadri Tammur,77
612502,Aleksei Peterson,Aleksei Peterson,17
612503,Aleksei Peterson,Aleksei Peterson,17
612503,Kadri Tammur,Kadri Tammur,77
612504,Aleksei Peterson,Aleksei Peterson,17
612504,Kadri Tammur,Kadri Tammur,77
612505,Aleksei Peterson,Aleksei Peterson,17
612505,Kadri Tammur,Kadri Tammur,77
612506,Aleksei Peterson,Aleksei Peterson,17
612506,Kadri Tammur,Kadri Tammur,77
612507,Aleksei Peterson,Aleksei Peterson,17
612507,Kadri Tammur,Kadri Tammur,77
612508,A. Peterson,Aleksei Peterson,6
612508,Kadri Tammur,Kadri Tammur,77
612509,Aleksei Peterson,Aleksei Peterson,17
612509,Kadri Tammur,Kadri Tammur,77
612510,Aleksei Peterson,Aleksei Peterson,17
612510,Kadri Tammur,Kadri Tammur,77
612511,Aleksei Peterson,Aleksei Peterson,17
612511,Kadri Tammur,Kadri Tammur,77
612512,Aleksei Peterson,Aleksei Peterson,17
612512,Kadri Tammur,Kadri Tammur,77
612513,Aleksei Peterson,Aleksei Peterson,17
612513,Kadri Tammur,Kadri Tammur,77
612514,Aleksei Peterson,Aleksei Peterson,17
