modern_region_est,modern_region_eng,modern_rajon_est,modern_rajon_eng,museaale,kindlaid,toenaolisi,kontrollida
Handi-Mansi autonoomne ringkond – Jugra,Khanty-Mansi Autonomous Okrug – Yugra,Berjozovo rajoon,Beryozovsky District,283,283,0,0
Handi-Mansi autonoomne ringkond – Jugra,Khanty-Mansi Autonomous Okrug – Yugra,Surguti rajoon,Surgutsky District,194,194,0,0
Handi-Mansi autonoomne ringkond – Jugra,Khanty-Mansi Autonomous Okrug – Yugra,Konda rajoon,Kondinsky District,30,30,0,0
Handi-Mansi autonoomne ringkond – Jugra,Khanty-Mansi Autonomous Okrug – Yugra,Belojarski rajoon,Beloyarsky District,13,13,0,0
Handi-Mansi autonoomne ringkond – Jugra,Khanty-Mansi Autonomous Okrug – Yugra,Oktjabrski rajoon,Oktyabrsky District,6,6,0,0
Kirovi oblast,Kirov Oblast,Uržumi rajoon,Urzhumsky District,151,151,0,0
Kirovi oblast,Kirov Oblast,Kilmezi rajoon,Kilmezsky District,110,110,0,0
Kirovi oblast,Kirov Oblast,Malmõži rajoon,Malmyzhsky District,21,20,1,0
Kirovi oblast,Kirov Oblast,Uni rajoon,Uninsky District,8,8,0,0
Kirovi oblast,Kirov Oblast,Vjatskije Poljanõ rajoon,Vyatskopolyansky District,3,3,0,0
Kirovi oblast,Kirov Oblast,Zujevka rajoon,Zuyevsky District,2,2,0,0
Komi Vabariik,Komi Republic,Ust-Kulomi rajoon,Ust-Kulomsky District,184,184,0,0
Komi Vabariik,Komi Republic,Sõsolski rajoon,Sysolsky District,148,148,0,0
Komi Vabariik,Komi Republic,Priluzje rajoon,Priluzsky District,41,41,0,0
Komi Vabariik,Komi Republic,Ust-Võmi rajoon,Ust-Vymsky District,39,39,0,0
Komi Vabariik,Komi Republic,Knjazhpogosti rajoon,Knyazhpogostsky District,26,26,0,0
Komi Vabariik,Komi Republic,Inta linnaringkond,Inta Urban Okrug,24,24,0,0
Komi Vabariik,Komi Republic,Udora rajoon,Udorsky District,22,22,0,0
Komi Vabariik,Komi Republic,Petšoora rajoon,Pechora District,12,12,0,0
Komi Vabariik,Komi Republic,Ižma rajoon,Izhma District,5,5,0,0
Komi Vabariik,Komi Republic,Sõktõvdini rajoon,Syktyvdinsky District,1,1,0,0
Krasnojarski krai,Krasnoyarsk Krai,Biriljussõ rajoon,Birilussky District,13,0,13,0
Krasnojarski krai,Krasnoyarsk Krai,Atšinski rajoon,Achinsky District,1,0,1,0
Leningradi oblast,Leningrad Oblast,Kingissepa rajoon,Kingiseppsky District,1071,1030,41,0
Leningradi oblast,Leningrad Oblast,Boksitogorski rajoon,Boksitogorsky District,469,469,0,0
Leningradi oblast,Leningrad Oblast,Tihvini rajoon,Tikhvinsky District,151,151,0,0
Leningradi oblast,Leningrad Oblast,Lomonossovi rajoon,Lomonosovsky District,51,51,0,0
Leningradi oblast,Leningrad Oblast,Lodeinoje Pole rajoon,Lodeynopolsky District,32,32,0,0
Leningradi oblast,Leningrad Oblast,Podporožje rajoon,Podporozhsky District,9,9,0,0
Mari Eli Vabariik,Mari El Republic,Mäemari rajoon,Gornomariysky District,283,283,0,0
Mari Eli Vabariik,Mari El Republic,Morki rajoon,Morkinsky District,198,198,0,0
Mari Eli Vabariik,Mari El Republic,Volžski rajoon,Volzhsky District,71,71,0,0
Mari Eli Vabariik,Mari El Republic,Zvenigovo rajoon,Zvenigovsky District,42,42,0,0
Mari Eli Vabariik,Mari El Republic,Medvedevo rajoon,Medvedevsky District,40,40,0,0
Mari Eli Vabariik,Mari El Republic,Mari-Tureki rajoon,Mari-Tureksky District,37,37,0,0
Mari Eli Vabariik,Mari El Republic,Oršanka rajoon,Orshansky District,27,27,0,0
Mari Eli Vabariik,Mari El Republic,Novõi Torjali rajoon,Novotoryalsky District,24,24,0,0
Mari Eli Vabariik,Mari El Republic,Sernuri rajoon,Sernursky District,10,10,0,0
Mari Eli Vabariik,Mari El Republic,Sovetski rajoon,Sovetsky District,8,8,0,0
Mari Eli Vabariik,Mari El Republic,Joškar-Ola linnaringkond,Yoshkar-Ola Urban Okrug,2,0,2,0
Mari Eli Vabariik,Mari El Republic,Paranga rajoon,Paranginsky District,2,2,0,0
Murmanski oblast,Murmansk Oblast,Lovozero rajoon,Lovozersky District,48,48,0,0
Murmanski oblast,Murmansk Oblast,Kovdori rajoon,Kovdorsky District,8,8,0,0
Novgorodi oblast,Novgorod Oblast,Valdai rajoon,Valdaysky District,12,11,1,0
Penza oblast,Penza Oblast,Narovtšati rajoon,Narovchatsky District,1,0,1,0
Permi krai,Perm Krai,Suksuni rajoon,Suksunsky District,35,35,0,0
Permi krai,Perm Krai,Kotšjovo rajoon,Kochyovsky District,11,9,2,0
Permi krai,Perm Krai,Kujeda rajoon,Kuyedinsky District,5,5,0,0
Baškortostani Vabariik,Republic of Bashkortostan,Janauli rajoon,Yanaulsky District,92,92,0,0
Baškortostani Vabariik,Republic of Bashkortostan,Aurgazõ rajoon,Aurgazinsky District,57,57,0,0
Baškortostani Vabariik,Republic of Bashkortostan,Kaltasõ rajoon,Kaltasinsky District,47,0,47,0
Baškortostani Vabariik,Republic of Bashkortostan,Fjodorovski rajoon,Fyodorovsky District,15,15,0,0
Baškortostani Vabariik,Republic of Bashkortostan,Miškino rajoon,Mishkinsky District,11,11,0,0
Baškortostani Vabariik,Republic of Bashkortostan,Tatõšlõ rajoon,Tatyshlinsky District,6,6,0,0
Karjala Vabariik,Republic of Karelia,Kemi rajoon,Kemsky District,99,99,0,0
Karjala Vabariik,Republic of Karelia,Aunuse rajoon,Olonetsky District,89,89,0,0
Karjala Vabariik,Republic of Karelia,Karhumäe rajoon,Medvezhyegorsky District,67,67,0,0
Karjala Vabariik,Republic of Karelia,Prjaža rajoon,Pryazhinsky District,44,44,0,0
Karjala Vabariik,Republic of Karelia,Belomorski rajoon,Belomorsky District,24,24,0,0
Karjala Vabariik,Republic of Karelia,Kalevala rajoon,Kalevalsky District,13,13,0,0
Karjala Vabariik,Republic of Karelia,Prionežski rajoon,Prionezhsky District,11,9,2,0
Karjala Vabariik,Republic of Karelia,Kondopoga rajoon,Kondopozhsky District,8,7,1,0
Mordva Vabariik,Republic of Mordovia,Dubjonki rajoon,Dubyonsky District,120,120,0,0
Mordva Vabariik,Republic of Mordovia,Itšalki rajoon,Ichalkovsky District,118,118,0,0
Mordva Vabariik,Republic of Mordovia,Kovõlkino rajoon,Kovylkinsky District,106,89,17,0
Mordva Vabariik,Republic of Mordovia,Zubova Poljana rajoon,Zubovo-Polyansky District,104,104,0,0
Mordva Vabariik,Republic of Mordovia,Tšamzinka rajoon,Chamzinsky District,75,75,0,0
Mordva Vabariik,Republic of Mordovia,Kotškurovo rajoon,Kochkurovsky District,43,43,0,0
Mordva Vabariik,Republic of Mordovia,Ruzajevka rajoon,Ruzayevsky District,14,14,0,0
Mordva Vabariik,Republic of Mordovia,Starošajgovski rajoon,Staroshaygovsky District,5,5,0,0
Mordva Vabariik,Republic of Mordovia,Atjaševo rajoon,Atyashevsky District,2,2,0,0
Mordva Vabariik,Republic of Mordovia,Ardatovi rajoon,Ardatovsky District,1,0,1,0
Mordva Vabariik,Republic of Mordovia,Krasnoslobodski rajoon,Krasnoslobodsky District,1,1,0,0
Tatarstani Vabariik,Republic of Tatarstan,Agrõzi rajoon,Agryzsky District,244,243,1,0
Tatarstani Vabariik,Republic of Tatarstan,Mamadõši rajoon,Mamadyshsky District,8,0,8,0
Tatarstani Vabariik,Republic of Tatarstan,Bugulma rajoon,Bugulminsky District,6,0,6,0
Tatarstani Vabariik,Republic of Tatarstan,Bavlõ rajoon,Bavlinsky District,1,1,0,0
Tatarstani Vabariik,Republic of Tatarstan,Tšeremšani rajoon,Cheremshansky District,1,1,0,0
Samara oblast,Samara Oblast,Kljavlino rajoon,Klyavlinsky District,1,1,0,0
Tomski oblast,Tomsk Oblast,Kargasoki rajoon,Kargasoksky District,32,32,0,0
