modern_region_est,modern_region_eng,museaale,kindlaid,toenaolisi,kontrollida
Leningradi oblast,Leningrad Oblast,1984,1937,41,6
Mari Eli Vabariik,Mari El Republic,894,890,2,2
Udmurdi Vabariik,Udmurt Republic,875,862,4,9
Mordva Vabariik,Republic of Mordovia,697,666,18,13
Handi-Mansi autonoomne ringkond – Jugra,Khanty-Mansi Autonomous Okrug – Yugra,561,556,5,0
Komi Vabariik,Komi Republic,548,538,0,10
Kirovi oblast,Kirov Oblast,402,401,1,0
Karjala Vabariik,Republic of Karelia,375,369,3,3
Vologda oblast,Vologda Oblast,298,298,0,0
Tatarstani Vabariik,Republic of Tatarstan,295,280,15,0
Baškortostani Vabariik,Republic of Bashkortostan,247,200,47,0
Jamali-Neenetsi autonoomne ringkond,Yamalo-Nenets Autonomous Okrug,151,44,107,0
Tveri oblast,Tver Oblast,80,78,1,1
Murmanski oblast,Murmansk Oblast,72,71,1,0
Permi krai,Perm Krai,56,54,2,0
Tomski oblast,Tomsk Oblast,33,33,0,0
Tjumeni oblast,Tyumen Oblast,30,30,0,0
Krasnojarski krai,Krasnoyarsk Krai,14,0,14,0
Novgorodi oblast,Novgorod Oblast,12,11,1,0
Pihkva oblast,Pskov Oblast,7,7,0,0
Arhangelski oblast,Arkhangelsk Oblast,6,1,5,0
Penza oblast,Penza Oblast,1,0,1,0
Samara oblast,Samara Oblast,1,1,0,0
