object_id,material,material_category
518063,linane,tekstiil
518064,katteriie,tekstiil
518064,koekirjaline kangas,tekstiil
518064,puuvillane,tekstiil
518064,vooder,tekstiil
518065,katteriie,tekstiil
518065,puuvillane,tekstiil
518065,vooder,tekstiil
518066,linane,tekstiil
518066,tikandi muster punase,tekstiil
518066,halli ja musta niidiga,tekstiil
518513,lina,tekstiil
518513,puuvill,tekstiil
518514,puuvill,tekstiil
518515,mitmevärviline kaltsuvaip,tekstiil
518515,tekstiil,tekstiil
518517,puuvill,tekstiil
518518,pits,tekstiil
518518,puuvillane,tekstiil
518519,puit,puit
518521,lina,tekstiil
519423,kahekordsed sambad,tekstiil
519423,linane,tekstiil
519424,puit,puit
519425,puit,puit
519426,puit,puit
519427,puit,puit
519428,linane,tekstiil
519428,punane muster,tekstiil
519429,linane,tekstiil
519429,punane muster,tekstiil
519430,toht,puit
519431,nahk,tekstiil
519431,põhjapõder,tekstiil
519433,kaunistus,tekstiil
519433,kollane,tekstiil
519433,roheliste ja siniste väikeste helmestega tikitud mustrid (pärl-kaunistus),tekstiil
519433,punane,tekstiil
519433,helepruunid ja valged triibud,tekstiil
519433,pärl,tekstiil
519433,tekstiil,tekstiil
519800,punasel põhjal muster,tekstiil
519800,valged,tekstiil
519800,kollane,tekstiil
519800,rohelised,tekstiil
519800,sinine,tekstiil
519800,tekstiil,tekstiil
520181,linane,tekstiil
520181,valgel põhjal muster,tekstiil
520182,lina,tekstiil
520182,puuvill,tekstiil
520183,lina,tekstiil
520184,lina,tekstiil
520184,puuvill,tekstiil
520185,puuvill,tekstiil
520186,linane,tekstiil
520186,mitmevärvilised osad,tekstiil
520187,otstes punasest riiest,tekstiil
520187,kootud,tekstiil
520187,kaunistus,tekstiil
520187,tekstiil,tekstiil
520188,linane,tekstiil
520188,otstes korjatud põimes valge-punane ornament,tekstiil
520189,tekstiil,tekstiil
520190,lina,tekstiil
520190,puuvill,tekstiil
520191,,tekstiil
520191,nahk,tekstiil
520193,lina,tekstiil
520193,puuvill,tekstiil
520193,tekstiil,tekstiil
520194,nahk,tekstiil
520194,tekstiil,tekstiil
520194,umbkuub,tekstiil
520194,karv,nahk
520194,puuvillane kangas,tekstiil
520196,nahk,nahk
520196,puuvillane,tekstiil
520196,umbkuub,nahk
520196,karv,tekstiil
520196,tumeroosa riie,tekstiil
520196,õlgade vooder puna-valge-mummuline,tekstiil
520603,koer,nahk
520603,kunstnahk,nahk
520603,nahk,nahk
520603,painutatud korpus,puit
520603,sissepõletatud geomeetriline muster korpusel ja pulkadel.,puit
520603,pärn,puit
520603,rihm,puit
520617,linane,tekstiil
520617,pakutrükk,tekstiil
520617,mari,tekstiil
520617,,tekstiil
521055,villane,tekstiil
521362,lina,tekstiil
521363,sünteetika,tekstiil
521363,puuvill,tekstiil
521366,vask,metall
521368,puit,puit
521370,puit,puit
521371,segakiud,tekstiil
521371,sünteetika,tekstiil
521372,puit,puit
521373,puit,puit
521374,puit,puit
521375,puit,puit
521376,puit,puit
521377,puit,puit
521377,vits,puit
521378,lina,tekstiil
521378,puuvill,tekstiil
521379,linane,tekstiil
521379,ruuduline kangas,tekstiil
521380,kott,tekstiil
521380,lina,tekstiil
521380,mõõt,tekstiil
521380,salv,tekstiil
521380,nahk,nahk
521380,nöör,tekstiil
521380,puit,puit
521381,raud,metall
521382,raud,metall
521383,puit,puit
521384,savi,keraamika
521385,puit,puit
521385,raud,metall
521386,oherdipea,puit
521386,oherdiraud,puit
521386,puit,puit
521386,raud,puit
521387,raud,metall
521388,puit,puit
521389,puit,puit
521390,puit,puit
521555,nahk,nahk
521555,nahk,nahk
521555,sünteetika,tekstiil
521555,tald,nahk
521580,karusnahk,nahk
521580,nahk,nahk
521581,kask,puit
521581,sünteetika,tekstiil
521581,tehismaterjal,plastik
521646,kasetoht,puit
521646,kask,puit
521647,nahk,nahk
521647,põhjapõder,nahk
521647,hall,nahk
521647,pruun,nahk
521647,kangas,nahk
521648,mitmevärviline ripskoes vöö,tekstiil
521648,tekstiil,tekstiil
521649,värviline,tekstiil
521649,ripskoes,tekstiil
521649,tekstiil,tekstiil
521650,värviline,tekstiil
521650,ripskoes,tekstiil
521650,tekstiil,tekstiil
521651,linane,tekstiil
521651,tikitud ja kootud mitmevärviline muster,tekstiil
521651,helmed,tekstiil
521652,linane,tekstiil
521652,mitmevärviline tikand servades,tekstiil
521652,poepits,tekstiil
521688,metall,metall
521689,nahk,nahk
521689,pael,nahk
521689,tekstiil,nahk
521690,klaas,klaas
521690,metall,metall
521691,metall,metall
521692,vill,tekstiil
521693,lina,tekstiil
521698,metall,metall
521698,nahk,nahk
521698,puit,puit
521699,metall,metall
521699,puit,puit
521699,tera,
521701,puit,puit
521702,puit,puit
521703,puit,puit
521704,puit,puit
521705,puit,puit
521706,puit,puit
521707,haru,
521707,käepide,
521707,metall,metall
521707,puit,puit
521708,haru,
521708,käepide,
521708,metall,metall
521708,puit,puit
521709,haru,
521709,käepide,
521709,metall,metall
521709,puit,puit
521710,metall,metall
521711,metall,metall
521712,raud,metall
521713,atlasriie,tekstiil
521713,krae,tekstiil
521713,passeosal ja mansettidel triibuline puuvillane vooder,tekstiil
521713,puuvillane,tekstiil
521714,puuvillane,tekstiil
521714,triibuline kangas,tekstiil
521715,puuvillane,tekstiil
521715,kangas,tekstiil
521993,põdranahk,nahk
521993,sulg,nahk
521993,mosaiik,nahk
521993,aplikatsioon,nahk
521993,nahk,nahk
521994,nahk,nahk
521994,põhjapõder,nahk
521994,värviline kangas,nahk
521994,nahkmosaiik,nahk
521995,nahk,nahk
521995,põhjapõder,nahk
521996,nahk,nahk
521996,põhjapõder,nahk
522002,poolvillane triibuline,tekstiil
522002,kuderipstehnikas,tekstiil
522002,liht- ja tallatud vöötidega,tekstiil
522002,tekstiil,tekstiil
522003,poolvillane triibuline,tekstiil
522003,kuderipstehnikas,tekstiil
522003,liht- ja tallatud vöötidega,tekstiil
522003,tekstiil,tekstiil
522051,puit,puit
522052,kask,puit
522053,kask,puit
522062,lina,tekstiil
522064,siid,tekstiil
522064,tumeroosa põhipind,tekstiil
522064,,tekstiil
522065,,tekstiil
522065,pruunid lilled ja rohelised lehed,tekstiil
522065,puuvillane,tekstiil
522066,hallis toonis põhipind ja sinised ääretriibud,tekstiil
