object_id,museaali_number,eseme_nimi,material,material_category
518063,ERM B 225:9,ilukäterätik,linane,tekstiil
518064,ERM B 225:10,jakk,,tekstiil
518064,ERM B 225:10,jakk,koekirjaline kangas,tekstiil
518064,ERM B 225:10,jakk,puuvill,tekstiil
518064,ERM B 225:10,jakk,,tekstiil
518065,ERM B 225:11,jakk,,tekstiil
518065,ERM B 225:11,jakk,puuvill,tekstiil
518065,ERM B 225:11,jakk,,tekstiil
518066,ERM B 225:12,ilukäterätik,linane,tekstiil
518066,ERM B 225:12,ilukäterätik,tikand,tekstiil
518066,ERM B 225:12,ilukäterätik,,tekstiil
518513,ERM B 225:13,"särk, naiste",lina,tekstiil
518513,ERM B 225:13,"särk, naiste",puuvill,tekstiil
518514,ERM B 225:14,"särk, naiste",puuvill,tekstiil
518515,ERM B 225:15,põrandavaip,,tekstiil
518515,ERM B 225:15,põrandavaip,,tekstiil
518517,ERM B 225:16,"särk, naiste",puuvill,tekstiil
518518,ERM B 225:17,voodikaunistus,pits,tekstiil
518518,ERM B 225:17,voodikaunistus,puuvill,tekstiil
518519,ERM B 225:18,puukauss,puit,puit
518521,ERM B 225:19,triivvõrk,lina,tekstiil
519423,ERM B 225:20,pits,,tekstiil
519423,ERM B 225:20,pits,linane,tekstiil
519424,ERM B 225:21,lusikas,puit,puit
519425,ERM B 225:22,lusikas,puit,puit
519426,ERM B 225:23,värten,puit,puit
519427,ERM B 225:24,värten,puit,puit
519428,ERM B 225:25,ornamendi näidis,linane,tekstiil
519428,ERM B 225:25,ornamendi näidis,,tekstiil
519429,ERM B 225:26,ornamendi näidis,linane,tekstiil
519429,ERM B 225:26,ornamendi näidis,,tekstiil
519430,ERM B 225:27,mänguasi,toht,puit
519431,ERM B 225:28/ab,saapad,nahk,tekstiil
519431,ERM B 225:28/ab,saapad,põhjapõder,tekstiil
519433,ERM B 225:6,kleit,,tekstiil
519433,ERM B 225:6,kleit,,tekstiil
519433,ERM B 225:6,kleit,pärl,tekstiil
519433,ERM B 225:6,kleit,,tekstiil
519433,ERM B 225:6,kleit,,tekstiil
519433,ERM B 225:6,kleit,pärl,tekstiil
519433,ERM B 225:6,kleit,,tekstiil
519800,ERM B 226:2,"rüü, naiste",,tekstiil
519800,ERM B 226:2,"rüü, naiste",,tekstiil
519800,ERM B 226:2,"rüü, naiste",,tekstiil
519800,ERM B 226:2,"rüü, naiste",,tekstiil
519800,ERM B 226:2,"rüü, naiste",,tekstiil
519800,ERM B 226:2,"rüü, naiste",,tekstiil
520181,ERM B 226:3,"rüü, naiste",linane,tekstiil
520181,ERM B 226:3,"rüü, naiste",,tekstiil
520182,ERM B 226:4,"särk, naiste",lina,tekstiil
520182,ERM B 226:4,"särk, naiste",puuvill,tekstiil
520183,ERM B 226:5,"särk, naiste",lina,tekstiil
520184,ERM B 226:6,"särk, naiste",lina,tekstiil
520184,ERM B 226:6,"särk, naiste",puuvill,tekstiil
520185,ERM B 226:7,põll,puuvill,tekstiil
520186,ERM B 226:8,linik,linane,tekstiil
520186,ERM B 226:8,linik,,tekstiil
520187,ERM B 226:9,linik,,tekstiil
520187,ERM B 226:9,linik,kootud,tekstiil
520187,ERM B 226:9,linik,,tekstiil
520187,ERM B 226:9,linik,,tekstiil
520188,ERM B 226:10,linik,linane,tekstiil
520188,ERM B 226:10,linik,,tekstiil
520189,ERM B 226:11,kleidiriie,,tekstiil
520190,ERM B 226:12,"särk, meeste",lina,tekstiil
520190,ERM B 226:12,"särk, meeste",puuvill,tekstiil
520191,ERM B 225:1/ab,"saapad, naiste",,tekstiil
520191,ERM B 225:1/ab,"saapad, naiste",nahk,tekstiil
520193,ERM B 225:2,"särk, naiste",lina,tekstiil
520193,ERM B 225:2,"särk, naiste",puuvill,tekstiil
520193,ERM B 225:2,"särk, naiste",,tekstiil
520194,ERM B 225:3/ab,"umbkasukas umbkuuega, naiste",nahk,tekstiil
520194,ERM B 225:3/ab,"umbkasukas umbkuuega, naiste",,tekstiil
520194,ERM B 225:3/ab,"umbkasukas umbkuuega, naiste",umbkuub,tekstiil
520194,ERM B 225:3/ab,"umbkasukas umbkuuega, naiste",karv,nahk
520194,ERM B 225:3/ab,"umbkasukas umbkuuega, naiste",puuvill,tekstiil
520196,ERM B 225:4/ab,"umbkasukas umbkuuega, lapse",nahk,nahk
520196,ERM B 225:4/ab,"umbkasukas umbkuuega, lapse",puuvill,tekstiil
520196,ERM B 225:4/ab,"umbkasukas umbkuuega, lapse",umbkuub,nahk
520196,ERM B 225:4/ab,"umbkasukas umbkuuega, lapse",karv,tekstiil
520196,ERM B 225:4/ab,"umbkasukas umbkuuega, lapse",,tekstiil
520196,ERM B 225:4/ab,"umbkasukas umbkuuega, lapse",,tekstiil
520603,ERM B 225:5,"trumm, pulgad",koer,nahk
520603,ERM B 225:5,"trumm, pulgad",kunstnahk,nahk
520603,ERM B 225:5,"trumm, pulgad",nahk,nahk
520603,ERM B 225:5,"trumm, pulgad",,puit
520603,ERM B 225:5,"trumm, pulgad",,puit
520603,ERM B 225:5,"trumm, pulgad",pärn,puit
