object_id,best_place,place_precision,country,region,rajon,village,lat,lon,has_coordinates,koht
518063,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
518064,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
518065,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
518066,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
518513,Otla küla,küla,Venemaa,Komi ANSV,Knjazpogostski rajoon,Otla küla,67.0,,False,Otla küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa
518514,Turja küla,küla,Venemaa,Komi ANSV,Knjazpogostski rajoon,Turja küla,92.0,,False,Turja küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa
518515,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
518517,Turja küla,küla,Venemaa,Komi ANSV,Knjazpogostski rajoon,Turja küla,92.0,,False,Turja küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa
518518,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
518519,Koni küla,küla,Venemaa,Komi ANSV,Knjazpogostski rajoon,Koni küla,107.0,,False,Koni küla; Turja külanõukogu; Knjazpogostski rajoon; Komi Vabariik; Venemaa
518521,Koni küla,küla,Venemaa,Komi ANSV,Knjazpogostski rajoon,Koni küla,107.0,,False,Koni küla; Turja külanõukogu; Knjazpogostski rajoon; Komi Vabariik; Venemaa
519423,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
519424,Lug küla,küla,Venemaa,Komi ANSV,Knjazpogostski rajoon,Lug küla,130.0,,False,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa
519425,Lug küla,küla,Venemaa,Komi ANSV,Knjazpogostski rajoon,Lug küla,130.0,,False,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa
519426,Lug küla,küla,Venemaa,Komi ANSV,Knjazpogostski rajoon,Lug küla,130.0,,False,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa
519427,Lug küla,küla,Venemaa,Komi ANSV,Knjazpogostski rajoon,Lug küla,130.0,,False,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa
519428,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
519429,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
519430,Turja küla,küla,Venemaa,Komi ANSV,Knjazpogostski rajoon,Turja küla,92.0,,False,Turja küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa
519431,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
519433,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
519800,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520181,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520182,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520183,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520184,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520185,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520186,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520187,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520188,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520189,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520190,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa
520191,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
520193,Gani küla,küla,Venemaa,Komi ANSV,Izhma rajoon,Gani küla,272.0,,False,Gani küla; Izhma rajoon; Komi Vabariik; Venemaa
520194,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
520196,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
520603,Šereganovo küla,küla,Venemaa,Mari ANSV,Morki rajoon,Šereganovo küla,52392.0,,False,Šereganovo küla; Morko rajoon; Mari ANSV; Venemaa
520617,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
521055,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa
521362,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521363,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521366,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521368,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521370,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521371,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521372,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521373,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521374,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521375,Rimja küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Rimja küla,384.0,,False,Rimja küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521376,Rimja küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Rimja küla,384.0,,False,Rimja küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521377,Rimja küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Rimja küla,384.0,,False,Rimja küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521378,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521379,Gami külakond,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,418.0,,False,Gami külakond; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521380,Ust-Võmi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Võmi rajoon,,,,False,Ust-Võmi rajoon; Komi Vabariik; Venemaa
