object_id,best_place,place_precision,country,region,region_est,region_eng,rajon,rajon_est,rajon_eng,village,lat,lon,has_coordinates,koht,modern_region_est,modern_region_eng,modern_rajon_est,modern_rajon_eng,normalization_status,normalization_note,normalization_source,map_precision,lookup_id
518063,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
518064,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
518065,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
518066,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
518513,Otla küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Otla küla,67.0,,False,Otla küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0977,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0977
518514,Turja küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Turja küla,92.0,,False,Turja küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0976,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0976
518515,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
518517,Turja küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Turja küla,92.0,,False,Turja küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0733,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0733
518518,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
518519,Koni küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Koni küla,107.0,,False,Koni küla; Turja külanõukogu; Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0734,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0734
518521,Koni küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Koni küla,107.0,,False,Koni küla; Turja külanõukogu; Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0734,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0734
519423,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
519424,Lug küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Lug küla,130.0,,False,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0500,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0500
519425,Lug küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Lug küla,130.0,,False,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0500,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0500
519426,Lug küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Lug küla,130.0,,False,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0500,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0500
519427,Lug küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Lug küla,130.0,,False,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0500,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0500
519428,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
519429,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
519430,Turja küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Turja küla,92.0,,False,Turja küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0733,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0733
519431,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
519433,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
519800,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Bashkortostani Vabariik,Bashkortostani Vabariik,Mishkino rajoon,Mishkino rajoon,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa,Komi Vabariik,Komi Republic,,,valmis,lookup:PL0216,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL0216
520181,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Bashkortostani Vabariik,Bashkortostani Vabariik,Mishkino rajoon,Mishkino rajoon,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa,Komi Vabariik,Komi Republic,,,valmis,lookup:PL0216,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL0216
520182,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Bashkortostani Vabariik,Bashkortostani Vabariik,Mishkino rajoon,Mishkino rajoon,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa,Komi Vabariik,Komi Republic,,,valmis,lookup:PL0216,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL0216
520183,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Bashkortostani Vabariik,Bashkortostani Vabariik,Mishkino rajoon,Mishkino rajoon,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa,Komi Vabariik,Komi Republic,,,valmis,lookup:PL0216,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL0216
520184,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Bashkortostani Vabariik,Bashkortostani Vabariik,Mishkino rajoon,Mishkino rajoon,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa,Komi Vabariik,Komi Republic,,,valmis,lookup:PL0216,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL0216
520185,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Bashkortostani Vabariik,Bashkortostani Vabariik,Mishkino rajoon,Mishkino rajoon,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa,Komi Vabariik,Komi Republic,,,valmis,lookup:PL0216,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL0216
520186,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Bashkortostani Vabariik,Bashkortostani Vabariik,Mishkino rajoon,Mishkino rajoon,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa,Komi Vabariik,Komi Republic,,,valmis,lookup:PL0216,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL0216
520187,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Bashkortostani Vabariik,Bashkortostani Vabariik,Mishkino rajoon,Mishkino rajoon,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa,Komi Vabariik,Komi Republic,,,valmis,lookup:PL0216,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL0216
520188,Mishkino rajoon,rajoon,Venemaa,Bashkortostani Vabariik,Bashkortostani Vabariik,Bashkortostani Vabariik,Mishkino rajoon,Mishkino rajoon,Mishkino rajoon,,,,False,Mishkino rajoon; Bashkortostani Vabariik; Venemaa,Komi Vabariik,Komi Republic,,,valmis,lookup:PL0216,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL0216
