object_id,museal_number,image_url,object_url,title,ethnic_group,year,collection_date_start,collection_date_end,latitude,longitude,event_ids,description,collectors_not_cleaned,comments,legend,text_on_object,tempel/ sign,references,event_names,related_objects,relation_type,<viited>,places_not_cleaned,material_not cleaned,material_cat_not_cleaned
518063,ERM B 225:9,http://opendata.muis.ee/media-list/518063,http://opendata.muis.ee/object/518063,ilukäterätik,komi,2000,,,,,"5605510, 4757349","Valge labases koes linase käteräti otsad on kaunistatud kolmeosalise  korjatud ja tallatud punase geomeetrilise ornamendiga (laius 20 cm.), otstele käsitsi õmmeldud heegeldatud siksakiline pits (laiem osa 12 cm).",Art Leete,"Esemed on kogutud ERMi teadusdirektor Art Leete poolt Komi Vabariigi Knjazpogostski rajoonis. Esemed B 225: 1-5, 28, 29 toodud kinkijate või teiste poolt muuseumi. 8 eset (B 225: 1-6, C 100:6, B 225: 7-28) ostetud 5352.80 kr. eest.",,,,,,,,,"Komi Vabariik, Knjazpogostski rajoon",linane,tekstiil
518064,ERM B 225:10,http://opendata.muis.ee/media-list/518064,http://opendata.muis.ee/object/518064,jakk,komi,2000,,,,,"5605511, 4757349","Eestnööbitav (9 nööpi) jakk pikkade otsapandud kroogitud varrukate ja väikese püstkraega, selja poolt vöökohast langevate voltidega. Vooderdatud.",Art Leete,"Esemed on kogutud ERMi teadusdirektor Art Leete poolt Komi Vabariigi Knjazpogostski rajoonis. Esemed B 225: 1-5, 28, 29 toodud kinkijate või teiste poolt muuseumi. 8 eset (B 225: 1-6, C 100:6, B 225: 7-28) ostetud 5352.80 kr. eest.",,,,,,,,,"Komi Vabariik, Knjazpogostski rajoon","katteriie, koekirjaline kangas, puuvillane, vooder",tekstiil
518065,ERM B 225:11,http://opendata.muis.ee/media-list/518065,http://opendata.muis.ee/object/518065,jakk,komi,2000,,,,,"5605512, 4757349","Eestnööbitav (9 rohelist nööpi) jakk pikkade otsapandud kroogitud varrukade ja väikese püstkraega, selja poolt vöökohast langevate voltidega. Vooderdatud.",Art Leete,"Esemed on kogutud ERMi teadusdirektor Art Leete poolt Komi Vabariigi Knjazpogostski rajoonis. Esemed B 225: 1-5, 28, 29 toodud kinkijate või teiste poolt muuseumi. 8 eset (B 225: 1-6, C 100:6, B 225: 7-28) ostetud 5352.80 kr. eest.",,,,,,,,,"Komi Vabariik, Knjazpogostski rajoon","katteriie, puuvillane, vooder   varrukavooder kahest kangast - hallist ja mustrilisest valge-pruunist",tekstiil
518066,ERM B 225:12,http://opendata.muis.ee/media-list/518066,http://opendata.muis.ee/object/518066,ilukäterätik,komi,2000,,,,,"4757349, 5605513","Valge labases koes linase käteräti otsad kaunistatud lihtsas ja kahekordses ristpistes tikandiga - taimornament (laius 13 cm.), sõlmpilu tikandiga (laius 3 cm); otstele käsitsi õmmeldud heegeldatud siksakiline pits (laiem osa 17 cm).",Art Leete,"Esemed on kogutud ERMi teadusdirektor Art Leete poolt Komi Vabariigi Knjazpogostski rajoonis. Esemed B 225: 1-5, 28, 29 toodud kinkijate või teiste poolt muuseumi. 8 eset (B 225: 1-6, C 100:6, B 225: 7-28) ostetud 5352.80 kr. eest.",,,,,,,,,"Komi Vabariik, Knjazpogostski rajoon","linane, tikandi muster punase, halli ja musta niidiga",tekstiil
518513,ERM B 225:13,http://opendata.muis.ee/media-list/518513,http://opendata.muis.ee/object/518513,"särk, naiste",komi,2000,,,,,"3301105, 3301103, 5634723, 4757349","Tuunikalõikeline eestnööbitav (4 nööpi) särk puuvillase kangaga vooderdatud passeosa, püstkrae ja pikkade varrukate ja kaenlalappidega. Kaheosaline - pihaosa peenest linasest riidest, alane - lõuendist. Passeosas ees 3 ja tagant 4 ühepoolsed nöörvoldi. Pihaosa ja varrukad ülevalt krookitud, varruka värvel volditud mansett. Jatku  (komi keeles - mõg, 62 cm) alumisse äärde õmmeldud 13 cm kangariba korjatud kirivöödiga.",Art Leete,"Esemed on kogutud ERMi teadusdirektor Art Leete poolt Komi Vabariigi Knjazpogostski rajoonis. Esemed B 225: 1-5, 28, 29 toodud kinkijate või teiste poolt muuseumi. 8 eset (B 225: 1-6, C 100:6, B 225: 7-28) ostetud 5352.80 kr. eest.","Valmistatud Komi Vabariigis Knjazhpogostki rajoonis Turja k/n Turja külas. Ese kuulus Jevdokija Fedorovna Kustoshevale (1901-1971), kes sündis Koni külas. Valmistaja võib olla samuti tema.  Eseme vanus 80 a.  
Saadud: Komi Vabariigi  Knjazhpogostki rajoonis Srednjaja Otla külast Jekaterina Nikolajevna Tarbajevalt, 25 aastane. 
ERMile kingitud.",,,,valmistamine | rahvariided,,,,"Komi Vabariik, Knjazpogostski rajoon, Otla küla","lina, puuvill",tekstiil
518514,ERM B 225:14,http://opendata.muis.ee/media-list/518514,http://opendata.muis.ee/object/518514,"särk, naiste",komi,2000,,,,,"3301171, 3301174, 5634724, 4757349","Sirgelõikeline alussärk heegeldatud õlapaeltega ja ülemise rinnakõrguse osaga, kahe ühepoolse nöörvoldiga ja heegeldatud 13 cm laiuse pitsiga alumises ääres. Vöökohas kahel pool väikesed lehvikvoldid, mis on õmmeldud ühendusõmbluse külge, paremalt poolelt voldi lõpp tugevdatud kuusnurkse riidetükiga.",Art Leete,"Esemed on kogutud ERMi teadusdirektor Art Leete poolt Komi Vabariigi Knjazpogostski rajoonis. Esemed B 225: 1-5, 28, 29 toodud kinkijate või teiste poolt muuseumi. 8 eset (B 225: 1-6, C 100:6, B 225: 7-28) ostetud 5352.80 kr. eest.","Valmistatud Komi Vabariigis Knjazhpogostki rajoonis Turja k/n Turja külas. Ese kuulus Jevdokija Fedorovna Kustoshevale (1901-1971), kes sündis Koni külas. Valmistaja võib olla samuti tema.  Eseme valmistatud 1930. a.  
Saadud: Komi Vabariigi  Knjazhpogostki rajoonis Srednjaja Otla külast Jekaterina Nikolajevna Tarbajevalt, 25 aastane. 
ERMile kingitud.",,,,Komi | valmistamine,,,,"Komi Vabariik, Knjazpogostski rajoo, Turja küla",puuvill,tekstiil
518515,ERM B 225:15,http://opendata.muis.ee/media-list/518515,http://opendata.muis.ee/object/518515,põrandavaip,komi,2000,,,,,"4757349, 5634725","Linane lõim ja kaltsuriidest kude, otstes linasest niidist 5 cm pikkused narmad",Art Leete,"Esemed on kogutud ERMi teadusdirektor Art Leete poolt Komi Vabariigi Knjazpogostski rajoonis. Esemed B 225: 1-5, 28, 29 toodud kinkijate või teiste poolt muuseumi. 8 eset (B 225: 1-6, C 100:6, B 225: 7-28) ostetud 5352.80 kr. eest.",,,,,,,,,"Komi Vabariik, Knjazpogostski rajoon","mitmevärviline kaltsuvaip, tekstiil",tekstiil
518517,ERM B 225:16,http://opendata.muis.ee/media-list/518517,http://opendata.muis.ee/object/518517,"särk, naiste",komi,2000,,,,,"3301120, 3301123, 4757349, 5634727","Sirgelõikeline alussärk heegeldatud õlapaeltega ja ülemise rinnakõrguse osaga, kahe heegeldatud (6 ja 19 cm lai) pitsiga alumises ääres, mille vahel on kangast riba. Vöö kohas kahel pool väikesed lehvikvoldid, mis on õmmeldud ühendusõmbluse külge, paremalt poolelt voldi lõpp tugevdatud kuusnurkse riidetükiga.",Art Leete,"Esemed on kogutud ERMi teadusdirektor Art Leete poolt Komi Vabariigi Knjazpogostski rajoonis. Esemed B 225: 1-5, 28, 29 toodud kinkijate või teiste poolt muuseumi. 8 eset (B 225: 1-6, C 100:6, B 225: 7-28) ostetud 5352.80 kr. eest.","Valmistatud Komi Vabariigis Knjazhpogostki rajoonis. Ese kuulus Klavdija Ivanovna Zhilinale (1916-1985), tema võib olla ka valmistaja. Eseme valmistatud 1930. a. 
Saadud: Komi Vabariigi  Knjazhpogostki rajoonis Turja k/n Koni külast Stepan Ivanovitch Zhilini poolt, 55 aastane. 
ERMile kingitud.",,,,naisteriietus | valmistaja,,,,"Komi Vabariik, Knjazpogostski rajoon, Turja küla",puuvill,tekstiil
518518,ERM B 225:17,http://opendata.muis.ee/media-list/518518,http://opendata.muis.ee/object/518518,voodikaunistus,komi,2000,,,,,"5634728, 4757349","Riidetükkidest kokkuõmmeldud nelinurkne ese, kaunistuseks allserva juures neli ühepoolset nöörvolti (1 cm) ja 4 cm laiune õmblusmasinaga tehtud auguline tikand siksakilise servaga.",Art Leete,"Esemed on kogutud ERMi teadusdirektor Art Leete poolt Komi Vabariigi Knjazpogostski rajoonis. Esemed B 225: 1-5, 28, 29 toodud kinkijate või teiste poolt muuseumi. 8 eset (B 225: 1-6, C 100:6, B 225: 7-28) ostetud 5352.80 kr. eest.",,,,,,,,,"Komi Vabariik, Knjazpogostski rajoon","pits   siksakilise servaga auguline masinatikand, puuvillane",tekstiil
518519,ERM B 225:18,http://opendata.muis.ee/media-list/518519,http://opendata.muis.ee/object/518519,puukauss,komi,2000,,,,,"4642337, 4642341, 5634729, 4757349","Kumera põhja ja ülalt laieneva äärega puust treitud värvitud nõu. Kausi põhjale ja välispinnale on pintsliga joonistatud punase ja mustaga taimornament (lehed, marjad, jooned).",Art Leete,,,,,,valmistamine | kasutaja/omanik,,,,"Komi Vabariik, Knjazpogostski rajoon, Turja külanõukogu, Koni küla",puit,puit
