object_id,place_id,koht,place_raw,Riik,Riik_clean,Riik_eng_clean,"Regioon (oblast, vabariik, ringkond)",Regioon_clean,Regioon_eng,Regioon_eng_clean,Ringkond,Ringkond_clean,Ringkond_eng_clean,Rajoon_est,Rajoon_clean,Rajoon_eng,Rajoon_eng_clean,local_admin,küla,Küla_clean,küla_eng,Küla_eng_clean,lat,lon,coords_source,place_key
518063,PL00569,Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,37,,,,,,,,venemaa|komi vabariik||knjazpogostski rajoon|
518064,PL00569,Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,37,,,,,,,,venemaa|komi vabariik||knjazpogostski rajoon|
518065,PL00569,Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,37,,,,,,,,venemaa|komi vabariik||knjazpogostski rajoon|
518066,PL00569,Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,37,,,,,,,,venemaa|komi vabariik||knjazpogostski rajoon|
518513,PL00572,Otla küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,52369,Otla küla,Otla küla,Otla küla,Otla küla,67.0,,,venemaa|komi vabariik||knjazpogostski rajoon|otla küla
518514,PL00573,Turja küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,52371,Turja küla,Turja küla,Turja küla,Turja küla,92.0,,,venemaa|komi vabariik||knjazpogostski rajoon|turja küla
518515,PL00569,Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,37,,,,,,,,venemaa|komi vabariik||knjazpogostski rajoon|
518517,PL00573,Turja küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,52371,Turja küla,Turja küla,Turja küla,Turja küla,92.0,,,venemaa|komi vabariik||knjazpogostski rajoon|turja küla
518518,PL00569,Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,37,,,,,,,,venemaa|komi vabariik||knjazpogostski rajoon|
518519,PL00570,Koni küla; Turja külanõukogu; Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Turja külanõukogu,Koni küla,Koni küla,Koni küla,Koni küla,107.0,,,venemaa|komi vabariik||knjazpogostski rajoon|koni küla
518521,PL00570,Koni küla; Turja külanõukogu; Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Turja külanõukogu,Koni küla,Koni küla,Koni küla,Koni küla,107.0,,,venemaa|komi vabariik||knjazpogostski rajoon|koni küla
519423,PL00569,Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,37,,,,,,,,venemaa|komi vabariik||knjazpogostski rajoon|
519424,PL00571,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,52376,Lug küla,Lug küla,Lug küla,Lug küla,130.0,,,venemaa|komi vabariik||knjazpogostski rajoon|lug küla
519425,PL00571,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,52376,Lug küla,Lug küla,Lug küla,Lug küla,130.0,,,venemaa|komi vabariik||knjazpogostski rajoon|lug küla
519426,PL00571,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,52376,Lug küla,Lug küla,Lug küla,Lug küla,130.0,,,venemaa|komi vabariik||knjazpogostski rajoon|lug küla
519427,PL00571,Lug küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,52376,Lug küla,Lug küla,Lug küla,Lug küla,130.0,,,venemaa|komi vabariik||knjazpogostski rajoon|lug küla
519428,PL00569,Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,37,,,,,,,,venemaa|komi vabariik||knjazpogostski rajoon|
519429,PL00569,Knjazpogostski rajoon; Komi Vabariik; Venemaa,,Venemaa,Venemaa,Russia,Komi Vabariik,Komi Vabariik,52367.0,52367,,,,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,37,,,,,,,,venemaa|komi vabariik||knjazpogostski rajoon|
