object_id,best_place,place_precision,country,region,district,rajon,village,lat,lon,has_coordinates,koht,place_key
518063,Knjazpogostski rajoon,rajoon,Venemaa,Komi Vabariik,,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,venemaa|komi vabariik||knjazpogostski rajoon|
518064,Knjazpogostski rajoon,rajoon,Venemaa,Komi Vabariik,,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,venemaa|komi vabariik||knjazpogostski rajoon|
518065,Knjazpogostski rajoon,rajoon,Venemaa,Komi Vabariik,,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,venemaa|komi vabariik||knjazpogostski rajoon|
518066,Knjazpogostski rajoon,rajoon,Venemaa,Komi Vabariik,,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,venemaa|komi vabariik||knjazpogostski rajoon|
518513,Otla küla,küla,Venemaa,Komi Vabariik,,Knjazpogostski rajoon,Otla küla,67.0,,False,Otla küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,venemaa|komi vabariik||knjazpogostski rajoon|otla küla
518514,Turja küla,küla,Venemaa,Komi Vabariik,,Knjazpogostski rajoon,Turja küla,92.0,,False,Turja küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,venemaa|komi vabariik||knjazpogostski rajoon|turja küla
518515,Knjazpogostski rajoon,rajoon,Venemaa,Komi Vabariik,,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,venemaa|komi vabariik||knjazpogostski rajoon|
518517,Turja küla,küla,Venemaa,Komi Vabariik,,Knjazpogostski rajoon,Turja küla,92.0,,False,Turja küla; Knjazpogostski rajoon; Komi Vabariik; Venemaa,venemaa|komi vabariik||knjazpogostski rajoon|turja küla
518518,Knjazpogostski rajoon,rajoon,Venemaa,Komi Vabariik,,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,venemaa|komi vabariik||knjazpogostski rajoon|
518519,Koni küla,küla,Venemaa,Komi Vabariik,,Knjazpogostski rajoon,Koni küla,107.0,,False,Koni küla; Turja külanõukogu; Knjazpogostski rajoon; Komi Vabariik; Venemaa,venemaa|komi vabariik||knjazpogostski rajoon|koni küla
